25	505	1
25	588	2
25	653	5
25	710	13
25	950	4
25	1088	4
25	1150	2
25	1165	9
25	1179	11
25	1204	1
25	1336	6
25	1345	7
25	1422	4
25	1453	3
25	1536	4
25	1592	3
25	1671	3
25	1702	2
25	1800	5
25	1832	4
25	1897	9
25	1933	2
25	2014	1
25	2027	2
25	2028	3
25	2256	5
505	588	4
505	653	1
505	710	10
505	950	2
505	1088	2
505	1150	8
505	1165	6
505	1179	6
505	1204	6
505	1336	2
505	1345	2
505	1422	1
505	1453	2
505	1536	4
505	1671	7
505	1702	7
505	1800	5
505	1832	1
505	1897	6
505	1933	3
505	2014	1
505	2027	1
505	2028	1
505	2256	11
588	653	8
588	710	21
588	950	4
588	1088	13
588	1150	4
588	1165	8
588	1179	9
588	1204	4
588	1336	10
588	1345	8
588	1422	6
588	1453	8
588	1536	4
588	1592	6
588	1671	4
588	1702	3
588	1800	5
588	1832	5
588	1897	15
588	1933	4
588	2014	6
588	2027	6
588	2028	4
588	2256	12
653	710	18
653	950	4
653	1088	10
653	1150	3
653	1165	7
653	1179	8
653	1204	1
653	1336	8
653	1345	6
653	1422	4
653	1453	6
653	1536	3
653	1592	6
653	1671	3
653	1702	1
653	1800	3
653	1832	3
653	1897	10
653	1933	2
653	2014	4
653	2027	4
653	2028	3
653	2256	5
710	950	12
710	1088	20
710	1150	9
710	1165	24
710	1179	25
710	1204	9
710	1336	19
710	1345	16
710	1422	10
710	1453	13
710	1536	10
710	1592	11
710	1671	9
710	1702	9
710	1800	15
710	1832	10
710	1897	34
710	1933	11
710	2014	9
710	2027	8
710	2028	9
710	2256	26
950	1088	4
950	1150	2
950	1165	4
950	1179	5
950	1204	1
950	1336	4
950	1345	7
950	1422	5
950	1453	4
950	1536	2
950	1592	6
950	1671	3
950	1702	3
950	1800	3
950	1832	3
950	1897	10
950	1933	1
950	2014	3
950	2027	3
950	2028	3
950	2256	7
1088	1150	3
1088	1165	8
1088	1179	10
1088	1204	3
1088	1336	14
1088	1345	10
1088	1422	8
1088	1453	12
1088	1536	4
1088	1592	8
1088	1671	4
1088	1702	1
1088	1800	3
1088	1832	5
1088	1897	18
1088	1933	4
1088	2014	8
1088	2027	2
1088	2256	8
1150	1165	6
1150	1179	5
1150	1204	4
1150	1336	2
1150	1345	3
1150	1422	2
1150	1453	3
1150	1536	4
1150	1671	9
1150	1702	5
1150	1800	4
1150	1897	3
1150	1933	2
1150	2256	9
1165	1179	15
1165	1204	7
1165	1336	9
1165	1345	6
1165	1422	5
1165	1453	5
1165	1536	6
1165	1592	5
1165	1671	7
1165	1702	5
1165	1800	9
1165	1832	4
1165	1897	15
1165	1933	5
1165	2014	3
1165	2027	3
1165	2028	5
1165	2256	15
1179	1204	5
1179	1336	12
1179	1345	7
1179	1422	7
1179	1453	5
1179	1536	3
1179	1592	8
1179	1671	5
1179	1702	5
1179	1800	8
1179	1832	3
1179	1897	19
1179	1933	3
1179	2014	6
1179	2027	4
1179	2028	6
1179	2256	12
1204	1336	2
1204	1422	1
1204	1453	1
1204	1536	4
1204	1592	2
1204	1671	3
1204	1702	4
1204	1800	3
1204	1832	2
1204	1897	6
1204	1933	3
1204	2014	3
1204	2027	1
1204	2028	1
1204	2256	8
1336	1345	8
1336	1422	5
1336	1453	10
1336	1536	2
1336	1592	6
1336	1671	3
1336	1702	3
1336	1800	3
1336	1832	5
1336	1897	18
1336	1933	2
1336	2014	9
1336	2027	4
1336	2028	3
1336	2256	8
1345	1422	6
1345	1453	5
1345	1536	5
1345	1592	6
1345	1671	4
1345	1702	1
1345	1800	4
1345	1832	4
1345	1897	12
1345	1933	4
1345	2014	5
1345	2027	3
1345	2028	2
1345	2256	9
1422	1453	7
1422	1536	1
1422	1592	4
1422	1671	3
1422	1702	1
1422	1800	4
1422	1832	5
1422	1897	9
1422	1933	2
1422	2014	3
1422	2027	2
1422	2028	2
1422	2256	5
1453	1536	3
1453	1592	3
1453	1671	4
1453	1702	3
1453	1800	3
1453	1832	5
1453	1897	13
1453	1933	4
1453	2014	5
1453	2027	1
1453	2256	7
1536	1592	1
1536	1671	4
1536	1702	2
1536	1800	4
1536	1832	2
1536	1897	6
1536	1933	4
1536	2014	1
1536	2027	2
1536	2028	2
1536	2256	8
1592	1671	1
1592	1800	1
1592	1832	2
1592	1897	11
1592	1933	2
1592	2014	5
1592	2027	4
1592	2028	3
1592	2256	4
1671	1702	4
1671	1800	4
1671	1897	4
1671	1933	3
1671	2014	1
1671	2256	8
1702	1800	6
1702	1832	1
1702	1897	6
1702	1933	3
1702	2014	1
1702	2027	1
1702	2256	9
1800	1832	4
1800	1897	7
1800	1933	7
1800	2014	1
1800	2027	2
1800	2028	2
1800	2256	9
1832	1897	10
1832	1933	3
1832	2014	1
1832	2027	4
1832	2028	4
1832	2256	4
1897	1933	8
1897	2014	9
1897	2027	5
1897	2028	7
1897	2256	16
1933	2014	2
1933	2027	1
1933	2028	2
1933	2256	6
2014	2027	3
2014	2028	1
2014	2256	3
2027	2028	6
2027	2256	2
2028	2256	4
